frame,steering,throttle,vector_index,x0,y0,x1,y1,flags
0,0,0,165,35,29,37,0,0
0,0,0,169,22,34,22,0,0
0,0,0,176,52,13,53,0,0
1,0,0,165,35,29,37,0,0
1,0,0,169,21,34,21,0,0
1,0,0,176,52,10,53,0,0
2,0,0,165,35,29,37,0,0
2,0,0,169,22,33,21,0,0
2,0,0,176,52,13,53,0,0
3,0,0,165,36,27,36,0,0
3,0,0,169,21,35,21,0,0
3,0,0,176,51,17,52,0,0
4,0,0,165,34,30,36,0,0
4,0,0,169,21,35,21,0,0
4,0,0,176,52,14,52,0,0
5,0,0,165,34,30,36,0,0
5,0,0,169,21,35,21,0,0
5,0,0,176,50,32,52,0,0
6,0,0,165,33,31,36,0,0
6,0,0,169,20,36,21,0,0
6,0,0,176,51,13,52,0,0
7,0,0,165,33,31,36,0,0
7,0,0,169,19,36,20,0,0
7,0,0,176,50,16,52,0,0
8,0,0,165,35,31,35,0,0
8,0,0,169,19,37,20,0,0
8,0,0,176,50,16,51,0,0
9,0,0,165,31,34,34,0,0
9,0,0,169,18,35,19,0,0
9,0,0,176,49,16,50,0,0
10,0,0,165,27,38,32,4,0
10,0,0,169,15,27,17,5,0
11,0,0,165,24,35,28,11,0
11,0,0,169,11,26,14,11,0
12,0,0,165,19,39,24,16,0
12,0,0,169,6,34,10,15,0
12,0,0,178,38,18,41,4,2
13,0,0,165,14,51,20,20,0
13,0,0,169,2,48,6,18,0
13,0,0,179,35,20,37,8,2
14,0,0,165,15,42,20,14,0
14,0,0,169,2,41,6,14,0
14,0,0,179,32,25,36,3,0
15,0,0,165,17,30,21,10,0
15,0,0,169,4,24,7,10,0
15,0,0,179,32,25,36,3,1
16,0,0,-1,0,0,0,0,0
17,0,0,182,12,36,15,2,2
17,0,0,183,24,33,31,1,2
17,0,0,184,41,36,48,0,2
18,0,0,182,12,34,15,0,0
18,0,0,183,24,31,31,0,0
18,0,0,184,41,34,48,0,0
18,0,0,185,73,18,72,6,2
19,0,0,182,11,34,15,0,0
19,0,0,183,24,31,30,0,0
19,0,0,184,42,34,47,0,0
19,0,0,185,73,17,74,6,0
20,0,0,182,14,33,16,0,0
20,0,0,183,26,31,31,0,0
20,0,0,184,43,34,48,0,0
21,0,0,182,14,35,16,0,0
21,0,0,183,27,31,32,0,0
21,0,0,184,44,34,49,0,0
22,0,0,182,15,35,16,0,0
22,0,0,183,28,31,32,0,0
22,0,0,184,45,32,48,0,0
23,0,0,182,17,35,17,0,0
23,0,0,183,30,32,33,0,0
23,0,0,184,46,30,48,0,1
24,0,0,182,20,35,19,24,0
24,0,0,183,34,35,36,2,0
25,0,0,182,23,39,24,5,0
